"Wed Nov 23 14:13:33 2016",,,,"Spectrum:  PV258_2.MCA",,,,"Logfile:  PV258_2.LOG"
"PV258_2.CNF               ",,,,,
"Internal Version:",,"v512",,
"Acquisition Date:",, "09-19-2013",,"07:55:46:000",,
"Elapsed Live Time:",,18000.00,"sec",,"Elapsed True Time:",,18000.00,"sec"

"Corrections:",,"none",,

" Energy","Sigma","Position","Sigma","CHSQ","SIGMA","   Ampl.","Sigma","Width","Sigma","Fwidth","Sigma","    Area","Sigma","    A","Sigma","    B","Sigma"," Bkground","    Sigma"," Slope","Sigma"," Curv","Sigma"," Step","Sigma"," Tail","Sigma","    V","Sigma"," Left","Right","AvgBkg"
  815.649,  0.064,  3020.980,  0.237,   1.1,    1.9,        37,      3,  4.980,  0.412,   4.980,  0.497,       195,     20,  0.270,  0.593,  0.170,  6.144,      9.895,      0.902,  -0.005,  0.033,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  11188,  11233,      10
  835.187,  0.118,  3093.332,  0.437,   0.9,    1.9,        12,      2,  5.567,  0.910,   5.567,  1.114,        72,     15,  0.248,  1.296,  0.175,  8.683,      9.543,      0.694,  -0.022,  0.027,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  11258,  11303,       9
 1115.252,  0.096,  4130.455,  0.354,   0.8,    1.7,        15,      2,  6.783,  0.494,   6.783,  0.684,       110,     13,  0.248,  1.371,  0.169,  6.953,      6.066,      0.558,  -0.019,  0.013,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  12298,  12365,       5
 1120.890,  0.077,  4151.335,  0.285,   0.8,    1.7,        24,      2,  6.783,  0.494,   6.783,  0.632,       171,     16,  0.248,  1.371,  0.169,  6.953,      6.066,      0.558,  -0.019,  0.013,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  12298,  12365,       5
 1172.899,  0.120,  4343.934,  0.443,   0.7,    1.9,        19,      3,  6.874,  0.774,   6.961,  1.016,       156,     16,  0.237,  0.530,  1.000,  0.001,      4.701,      0.598,   0.011,  0.021,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  12511,  12556,       5
 1188.777,  0.143,  4402.730,  0.529,   1.3,    1.9,        10,      2,  5.419,  1.100,   5.682,  1.347,        76,     16,  0.600,  0.000,  1.000,  0.001,      4.339,      0.738,   0.027,  0.029,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  12568,  12613,       5
 1221.048,  0.143,  4522.234,  0.531,   1.1,    1.9,        16,      3,  6.340,  1.165,   6.403,  1.343,       123,     15,  0.600,  0.013,  0.611,  0.648,      3.915,      0.674,   0.016,  0.026,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  12689,  12734,       4
 1331.931,  0.077,  4932.851,  0.286,   1.1,    1.9,        21,      3,  5.516,  0.516,   5.516,  0.652,       123,     14,  0.269,  0.725,  0.176,  5.819,      3.071,      0.472,  -0.006,  0.018,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  13101,  13146,       3
 1368.149,  0.053,  5066.975,  0.197,   1.5,    1.9,        64,      5,  6.796,  0.375,   6.796,  0.490,       465,     29,  0.290,  0.270,  0.186,  1.977,      2.194,      0.501,   0.005,  0.023,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  13233,  13278,       2
 1460.350,  0.062,  5408.407,  0.230,   0.9,    1.9,        35,      3,  6.351,  0.509,   6.629,  0.603,       290,     17,  0.600,  0.002,  0.948,  0.250,      1.512,      0.443,   0.014,  0.015,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  13576,  13621,       2
 1595.563,  0.047,  5909.123,  0.174,   1.4,    1.8,        50,      4,  6.372,  0.388,   6.681,  0.503,       427,     25,  0.600,  0.000,  1.000,  0.000,      1.199,      0.393,  -0.004,  0.011,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  14072,  14126,       1
 1731.161,  0.143,  6411.261,  0.528,   0.9,    1.8,         6,      1,  6.742,  1.307,   7.070,  1.586,        57,      9,  0.600,  0.000,  1.000,  0.000,      1.095,      0.282,   0.000,  0.009,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  14573,  14627,       1
